SOCIETA;NUMERO_INTERNO;TARGA;NAZIONE_IMMATRICOLAZIONE;GESTITO;DESCRIZIONE;TIPO_VEICOLO;CASA_COSTRUTTRICE;TIPO_SERVIZIO;TIPO_SPECIFICA;SEDE_GESTIONE;AUTISTA_SEDE;AUTISTA_CODICE;SECONDO_AUTISTA_SEDE;SECONDO_AUTISTA_CODICE;NUMERO_INTERNO_ABBINATO;FORNITORE_CLIFOR;FORNITORE;DATA_ACQUISTO;DATA_IMMATRICOLAZIONE;OPERATORE;DISPONENTE;MOTORE_TIPO;MOTORE_NUMERO;KW;TELAIO_NUMERO;NUMERO_PIC;PORTATA;TARA;PESO_RIMORCHIABILE;PASSO;LUNGHEZZA_ESTERNA;LUNGHEZZA_INTERNA;LARGHEZZA_ESTERNA;LARGHEZZA_INTERNA;ALTEZZA_ESTERNA;ALTEZZA_INTERNA_ANTERIORE;ALTEZZA_INTERNA_POSTERIORE;CUBAGGIO;LIMITATORE_VELOCITA;RETARDER;RETARDER_TIPO;RALLA_TIPO;RALLA_DESCRIZIONE;RALLA_ALTEZZA;RALLA_ALTEZZA_MINIMA;RALLA_ALTEZZA_MASSIMA;ALLESTIMENTO;PIANALE;PORTA_POSTERIORE;ALZA_ABBASSA;SERBATOIO_1_LITRI;SERBATOIO_1_CENTIMETRI;SERBATOIO_2_LITRI;SERBATOIO_2_CENTIMETRI;SERBATOIO_LT_PER_CM;KM_PER_LITRO_MINIMO;KM_PER_LITRO_MASSIMO;GO_BOX;GO_BOX_DATA_MONTAGGIO;GO_BOX_NUMERO;GO_BOX_NOTE;SUPERTECH;SUPERTECH_DATA_MONTAGGIO;SUPERTECH_NOTE;NUMERO_CELLULARE;NUMERO_SATELLITARE;NUMERO_TRANSPONDER;PROTOCOLLO_MESSAGGI_SATELLITARE;TIPO_DISCHI;COLORE;PUBBLICITA;CHIUSURA_TIPO;CHIUSURA_MONTAGGIO;PRESA_A_TERRA;PRESA_A_TERRA_TIPO;DOPPIO_TETTO;ADR;KIT_AUSTRIA;REVISIONE_STATO;REVISIONE_DATA_PRENOTAZIONE;REVISIONE_DATA_REVISIONE;REVISIONE_NOTE;PIANO_MANUTENZIONE;CORREZIONE_KM;ECOPUNTI;ALIENATO;ALIENATO_DATA;ALIENATO_MOTIVO;ALIENATO_DESTINAZIONE;ALIENATO_VALUTA;ALIENATO_IMPORTO;RICAVO_GRUPPO;RICAVO_CONTO;RICAVO_SOTTOCONTO;LICENZA_CONTO_TERZI;LICENZA_INTRACOMUNITARIA;CISTERNA_SCOMPARTI_NUMERO;CISTERNA_SCARICO_ATTREZZATURA;CISTERNA_SCARICO_DISPOSITIVI;CISTERNA_SCARICO_REGIME;CISTERNA_VALVOLA;CISTERNA_RISCALDAMENTO;CISTERNA_SERPENTINE;CISTERNA_VASCHETTE;COSTO_KM;KM_ANNUI;NOME_FILE_FOTO;NOTE;INSERT_UTENTE;INSERT_DATA_ORA;UPDATE_UTENTE;UPDATE_DATA_ORA;SOCIETA_OFFICINA;TIPO_SATELLITARE;ID;RIFIUTI;UTILIZZO_GPRS;TIPO_SMS;VERSIONE_SOFTWARE_BORDO;VERSIONE_SOFTWARE_BORDO_DATA_ORA;VERSIONE_SOFTWARE_BORDO_DATA_ORA_RILEVAZIONE;CISTERNA_ADR_CODICE_CISTERNA;GO_BOX_NUMERO_PAN;WEB_TRACKING;PLANNING_ORDINE;SERBATOIO_MOTORE_AUSILIARIO_PRESENZA;SERBATOIO_MOTORE_AUSILIARIO_LITRI;CLASSE_EMISSIONE;DATA_PRIMA_IMMATRICOLAZIONE;CODICE_ESTERNO;DA_SINCRONIZZARE_IN_MOVO;MOVO_APPARATO;SINCRONIZZAZIONE_IN_MOVO_AVVENUTA;CINGHIE_FISSE;KM_PER_LITRO_MINIMO_UREA;KM_PER_LITRO_MASSIMO_UREA;RILEVAZIONE_DATE_ORE_EFFETTIVE_DISPOSIZIONE;CODICE_ILU_OLD;ALTEZZA_INTERNA_LATERALE_ANTERIORE;ALTEZZA_INTERNA_LATERALE_POSTERIORE;CDC;INVIO_VIAGGI_BORDO;PRESENZA_GANCI_NAVE;GESTIONE_HUPAC;PROFILO_SAGOMA_LIMITE;COMPATIBILITA_CON_CARRO;ALTEZZA_SELLETTA;OMOLOGAZIONE_VELOCITA;CODICE_ILU;CAPACITA_DI_CARICO;TIPO_CARBURANTE;VALORE_ACQUISTO;TIPO_ALIMENTAZIONE;IDENTIFICATIVO_ESTERNO;MODELLO;POSIZIONE_INIZIALE_DATA_ORA;POSIZIONE_INIZIALE_INDIRIZZO;POSIZIONE_INIZIALE_CAP;POSIZIONE_INIZIALE_LOCALITA;POSIZIONE_INIZIALE_SITO;POSIZIONE_INIZIALE_PROVINCIA;POSIZIONE_INIZIALE_NAZIONE;POSIZIONE_INIZIALE_ZONA;POSIZIONE_INIZIALE_LATITUDINE;POSIZIONE_INIZIALE_LONGITUDINE;TACHIMETRO_TACHIGRAFO;CONTAORE_1;CONTAORE_2;CONTAORE_3;PIANO_MANUTENZIONE_NEW;CISTERNA_TIPO_MATERIALE_DI_COSTRUZIONE;FOTO
11;         1;DG865CD;I;S;SCANIA R480 Euro5 Cambio Automatico;TS;SC;NN;TRA;02;SE;596;NULL;NULL;NULL;F;1150;2013-05-20 00:00:00.000;2013-05-20 00:00:00.000;48;05;NULL;NULL;353;YS2R4X20009176584;NULL;NULL;7650;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;N;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;N;N;625.00;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;N;N;N;R;NULL;2023-03-28 00:00:00.000;MTS MATTINO- ING GUIDOLINI;M1;NULL;3;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;034409-1018376;M/00074128;NULL;NULL;NULL;NULL;NULL;N;N;N;0,00;NULL;NULL;NULL;STEFANO;2013-05-20 16:04:00.000;ANDREAGUANDALINI;2023-03-28 16:10:14.000;11;MX;857;N;NULL;NULL;00004 00010 00002 00013;2010-10-08 01:12:00.000;2016-01-11 17:49:00.000;NULL;NULL;N;0;N;NULL;5;2013-05-20 00:00:00.000;DG865CD;N;TRUCKOFFICESAT;S;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;S;N;N;NULL;NULL;0;NULL;NULL;NULL;G;NULL;CA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;S;NULL;NULL;NULL;NULL;NULL;NULL
11;         2;DX008DD;I;S;SCANIA CV 500 Euro5 + PDF;TR;SC;NN;NULL;02;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2010-12-06 00:00:00.000;2010-12-06 00:00:00.000;50;10;NULL;NULL;368;VLUR4X20009153724;NULL;NULL;7670;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;N;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;N;N;625.00;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;LEGA ALCOA;BIANCO-BLU;NULL;NULL;NULL;N;NULL;N;N;N;R;NULL;2023-02-18 00:00:00.000;MTS MATTINA. ING GIORGIA D'AMICO;M1;NULL;5;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;34403-1018370;M/00074128;NULL;NULL;NULL;NULL;NULL;N;N;N;0,00;NULL;NULL;NULL;STEFANO;2010-12-07 23:44:00.000;STEFANO;2023-02-18 22:27:09.000;11;N;737;N;NULL;NULL;00004 00010 00003 00018;2014-01-20 01:28:00.000;2017-04-13 16:47:00.000;NULL;NULL;N;0;N;NULL;5;2010-12-06 00:00:00.000;NULL;N;NULL;S;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;S;N;N;NULL;NULL;0;NULL;NULL;NULL;G;NULL;CA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;S;NULL;NULL;NULL;NULL;NULL;NULL
11;         3;GH290AD;I;S;SCANIA 460 SUPER EURO 6;TR;SC;MP;NULL;02;SE;868;NULL;NULL;NULL;F;1150;2023-01-10 00:00:00.000;2023-01-10 00:00:00.000;NULL;NULL;NULL;460CV;338;YS2R4X20009312426;NULL;NULL;7500;NULL;NULL;3.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;N;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;N;N;925.00;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;N;N;N;R;NULL;2023-01-10 00:00:00.000;prima immatricolazione;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;185947;M700102538/1163623;NULL;NULL;NULL;NULL;NULL;N;N;N;0,00;NULL;NULL;NULL;STEFANO;2023-01-16 09:50:55.000;MAX;2023-02-09 08:25:11.000;11;MX;1897;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;0;N;NULL;I;2023-01-10 00:00:00.000;GH290AD;N;TRUCKOFFICESAT;S;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;S;N;N;NULL;NULL;0;NULL;NULL;NULL;G;125000,00;CA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;S;NULL;NULL;NULL;NULL;NULL;0x
11;         4;FW810WF;I;S;MAN TGX 18.460 EURO 6c;TR;MN;MP;NULL;02;SE;836;NULL;NULL;NULL;F;186;2019-05-20 00:00:00.000;2019-05-20 00:00:00.000;MN;05;NULL;NULL;353;WMA06XZZXKM829018;NULL;NULL;7500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;N;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;N;N;490.00;NULL;370.00;NULL;NULL;2.90;3.50;N;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;LEGA ALCOA;BIANCO;NULL;NULL;NULL;N;NULL;N;N;N;R;NULL;2022-05-31 00:00:00.000;MTS POMERIGGIO ING. DEBORAH LA FRANCA;NULL;NULL;5;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;103787;M700088879/1085867;NULL;NULL;NULL;NULL;NULL;N;N;N;0,00;NULL;NULL;NULL;STEFANO;2019-05-20 17:42:53.000;UMBERTO;2022-09-27 10:31:35.000;11;MX;1498;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;0;N;NULL;C;2019-05-20 00:00:00.000;FW810WF;N;TRUCKOFFICESAT;S;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;S;N;N;NULL;NULL;0;NULL;NULL;NULL;G;83500,00;CA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;S;NULL;NULL;NULL;NULL;NULL;NULL
11;         5;DG866CD;I;S;SCANIA R480 Euro5 Cambio Automatico;TS;SC;NN;NULL;02;NULL;NULL;NULL;NULL;NULL;F;1150;2013-05-20 00:00:00.000;2013-05-20 00:00:00.000;48;05;NULL;NULL;353;YS2R4X20009176582;NULL;NULL;7550;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;N;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;N;N;625.00;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;N;N;N;R;NULL;2023-02-18 00:00:00.000;MTS MATTINA. ING GIORGIA D'AMICO;M1;NULL;3;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;034366-1017904;M/00074128;NULL;NULL;NULL;NULL;NULL;N;N;N;0,00;NULL;NULL;NULL;STEFANO;2013-05-20 16:10:00.000;UMBERTO;2023-03-20 14:46:07.000;11;MX;858;N;NULL;NULL;00004.00006.00002.00001;2010-10-08 01:12:00.000;2013-09-02 14:05:00.000;NULL;NULL;N;0;N;NULL;5;2013-05-20 00:00:00.000;DG866CD;N;TRUCKOFFICESAT;S;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;S;N;N;NULL;NULL;0;NULL;NULL;NULL;G;NULL;CA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;S;NULL;NULL;NULL;NULL;NULL;0x
11;         6;DZ904ET;I;S;IVECO 420 Euro 5 Super Light;TR;FI;MP;NULL;02;SE;134;NULL;NULL;NULL;NULL;NULL;2009-11-25 00:00:00.000;2009-11-25 00:00:00.000;IV;05;NULL;NULL;309;WJMM1VSH404373259;NULL;44000;6350;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;N;NULL;B;NULL;1.35;NULL;NULL;NULL;NULL;N;N;250.00;0.00;0.00;0.00;0.00;NULL;NULL;N;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;ALCOA DIAMANTATI;BIANCO;NULL;NULL;NULL;N;NULL;N;N;N;R;NULL;2023-02-18 00:00:00.000;MTS MATTINA. ING GIORGIA D'AMICO;MO;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;34362/1017900;M/00074128;NULL;NULL;NULL;NULL;NULL;N;N;N;0,00;NULL;NULL;NULL;STEFANO;2015-09-28 17:42:36.000;STEFANO;2023-02-18 22:27:09.000;11;MX;1011;N;NULL;NULL;00004 00010 00002 00015;2010-10-08 01:12:00.000;2016-10-21 13:02:00.000;NULL;NULL;N;0;N;NULL;5;2009-11-25 00:00:00.000;DZ904ET;N;TRUCKOFFICESAT;S;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;S;N;N;NULL;NULL;0;NULL;NULL;NULL;G;NULL;CA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;S;NULL;NULL;NULL;NULL;NULL;NULL
11;         7;GM962FM;I;S;MAN TGX 18.470 EURO 6e;TS;MN;MP;NULL;02;SE;839;NULL;NULL;NULL;F;186;2023-02-20 00:00:00.000;2023-02-20 00:00:00.000;48;35;NULL;NULL;346;WMA06KZZ9PP211701;con compressore;NULL;7450;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;N;NULL;A;SAF HOLLAND;NULL;NULL;NULL;NULL;NULL;N;N;490.00;NULL;370.00;NULL;NULL;NULL;NULL;N;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;ALCOA;BIANCO;185951;NULL;NULL;N;NULL;N;N;N;R;NULL;2023-02-20 00:00:00.000;NUOVO;NULL;NULL;5;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;M700102538-1163627;NULL;NULL;NULL;NULL;NULL;N;N;N;0,00;NULL;NULL;NULL;STEFANO;2023-02-27 11:45:44.000;STEFANO;2023-04-01 09:08:28.000;11;MX;1907;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;0;N;NULL;I;2023-02-20 00:00:00.000;GM962FM;N;TRUCKOFFICESAT;S;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;S;N;N;NULL;NULL;0;NULL;NULL;NULL;G;89000,00;CA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;S;NULL;NULL;NULL;NULL;NULL;NULL
11;         8;DG871CD;I;S;SCANIA R480 Euro5 Cambio Automatico;TS;SC;NN;NULL;02;NULL;NULL;NULL;NULL;NULL;F;1150;2013-05-27 00:00:00.000;2013-05-27 00:00:00.000;48;35;NULL;NULL;353;YS2R4X20009176663;NULL;NULL;7550;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;N;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;N;N;625.00;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;N;N;N;R;NULL;2023-03-16 00:00:00.000;MOTORIZZAZIONE MATTINA. ING MALINCONICO;M1;NULL;3;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;034411-1018378;M/00074128;NULL;NULL;NULL;NULL;NULL;N;N;N;0,00;NULL;NULL;NULL;STEFANO;2013-05-27 11:46:00.000;STEFANO;2023-03-20 09:33:39.000;11;MX;860;N;NULL;NULL;00004.00006.00002.00001;2010-10-08 01:12:00.000;2014-07-09 09:40:00.000;NULL;NULL;N;0;N;NULL;5;2013-05-27 00:00:00.000;DG871CD;N;TRUCKOFFICESAT;S;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;S;N;N;NULL;NULL;0;NULL;NULL;NULL;G;NULL;CA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;S;NULL;NULL;NULL;NULL;NULL;0x
11;         9;EN643TM;I;S;SCANIA R480 Euro5;TR;SC;NN;NULL;02;NULL;NULL;NULL;NULL;NULL;F;1150;2012-09-10 00:00:00.000;2012-09-10 00:00:00.000;48;NULL;NULL;NULL;353;XLER4X20005301302;NULL;NULL;7350;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;N;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;N;N;625.00;0.00;0.00;0.00;0.00;NULL;NULL;N;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;N;N;N;R;NULL;2023-03-14 00:00:00.000;MTS POMERIGGIO ING VALENZANO;NULL;NULL;5;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;34322/1017595;M/00074128;NULL;NULL;NULL;NULL;NULL;N;N;N;0,00;NULL;NULL;NULL;STEFANO;2012-09-11 08:31:00.000;STEFANO;2023-03-14 21:32:09.000;11;MX;830;N;NULL;NULL;00004 00010 00002 00013;2010-10-08 01:12:00.000;2017-04-13 16:49:00.000;NULL;NULL;N;0;N;NULL;5;2012-09-10 00:00:00.000;EN643TM;N;TRUCKOFFICESAT;S;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;S;N;N;NULL;NULL;0;NULL;NULL;NULL;G;NULL;CA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;S;NULL;NULL;NULL;NULL;NULL;NULL
11;        10;EN644TM;I;S;SCANIA R480 Euro5;TR;SC;NN;NULL;02;NULL;NULL;NULL;NULL;NULL;F;1150;2012-09-10 00:00:00.000;2012-09-10 00:00:00.000;48;NULL;NULL;NULL;353;XLER4X20005301340;NULL;NULL;7350;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;N;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;N;N;625.00;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;NULL;NULL;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;N;NULL;N;N;N;R;NULL;2023-03-14 00:00:00.000;MTS POMERIGGIO ING VALENZANO;SC1;NULL;5;N;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;RESTITUITA;NULL;NULL;NULL;NULL;NULL;N;N;N;0,00;NULL;NULL;NULL;STEFANO;2012-09-11 08:34:00.000;STEFANO;2023-03-14 21:32:10.000;11;MX;831;N;NULL;NULL;00002.00003.00006.00000;2010-10-08 01:12:00.000;2012-09-15 11:13:00.000;NULL;NULL;N;0;N;NULL;5;2012-09-10 00:00:00.000;EN644TM;N;TRUCKOFFICESAT;S;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;S;N;N;NULL;NULL;0;NULL;NULL;NULL;G;NULL;CA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;S;NULL;NULL;NULL;NULL;NULL;0x
